*HASH_VALUE	sbrick ID	name	named	p	pd	ia	da	pia	pda	description	description2
_CAD1312F98CC70D8	bcfpca04	Fyros Muntion 4	Fyros Muntion 4   	Fyros Muntion 4   	Fyros Muntion 4   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 40
_0AD1312F18CC70D8	bcfpca05	Fyros Muntion 5	Fyros Muntion 5   	Fyros Muntion 5   	Fyros Muntion 5   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 50
_4AD1312F98CC70D8	bcfpca06	Fyros Muntion 6	Fyros Muntion 6   	Fyros Muntion 6   	Fyros Muntion 6   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 60
_8AD1312F18CC70D8	bcfpca07	Fyros Muntion 7	Fyros Muntion 7   	Fyros Muntion 7   	Fyros Muntion 7   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 70
_CBD1312F9ACC70D8	bcfpca08	Fyros Muntion 8	Fyros Muntion 8   	Fyros Muntion 8   	Fyros Muntion 8   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 80
_0BD1312F1ACC70D8	bcfpca09	Fyros Muntion 9	Fyros Muntion 9   	Fyros Muntion 9   	Fyros Muntion 9   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 90
_275290F3C43C7E6F	bcfpca10	Fyros Muntion 10	Fyros Muntion 10   	Fyros Muntion 10   	Fyros Muntion 10   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 100
_275294F3043C7E70	bcfpca11	Fyros Muntion 11	Fyros Muntion 11   	Fyros Muntion 11   	Fyros Muntion 11   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 110
_275298F3443C7E71	bcfpca12	Fyros Muntion 12	Fyros Muntion 12   	Fyros Muntion 12   	Fyros Muntion 12   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 120
_27529CF3843C7E72	bcfpca13	Fyros Muntion 13	Fyros Muntion 13   	Fyros Muntion 13   	Fyros Muntion 13   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 130
_2752A0F3C53C7E73	bcfpca14	Fyros Muntion 14	Fyros Muntion 14   	Fyros Muntion 14   	Fyros Muntion 14   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 140
_2752A4F3053C7E74	bcfpca15	Fyros Muntion 15	Fyros Muntion 15   	Fyros Muntion 15   	Fyros Muntion 15   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 150
_2752A8F3453C7E75	bcfpca16	Fyros Muntion 16	Fyros Muntion 16   	Fyros Muntion 16   	Fyros Muntion 16   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 160
_2752ACF3853C7E76	bcfpca17	Fyros Muntion 17	Fyros Muntion 17   	Fyros Muntion 17   	Fyros Muntion 17   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 170
_2752B0F3C63C7E77	bcfpca18	Fyros Muntion 18	Fyros Muntion 18   	Fyros Muntion 18   	Fyros Muntion 18   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 180
_2752B4F3063C7E78	bcfpca19	Fyros Muntion 19	Fyros Muntion 19   	Fyros Muntion 19   	Fyros Muntion 19   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 190
_675290F4C44C7E6F	bcfpca20	Fyros Muntion 20	Fyros Muntion 20   	Fyros Muntion 20   	Fyros Muntion 20   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 200
_675294F4044C7E70	bcfpca21	Fyros Muntion 21	Fyros Muntion 21   	Fyros Muntion 21   	Fyros Muntion 21   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 210
_675298F4444C7E71	bcfpca22	Fyros Muntion 22	Fyros Muntion 22   	Fyros Muntion 22   	Fyros Muntion 22   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 220
_67529CF4844C7E72	bcfpca23	Fyros Muntion 23	Fyros Muntion 23   	Fyros Muntion 23   	Fyros Muntion 23   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 230
_6752A0F4C54C7E73	bcfpca24	Fyros Muntion 24	Fyros Muntion 24   	Fyros Muntion 24   	Fyros Muntion 24   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 240
_6752A4F4054C7E74	bcfpca25	Fyros Muntion 25	Fyros Muntion 25   	Fyros Muntion 25   	Fyros Muntion 25   	ein	der		die	Befähigt zur Herstellung von Fyros-Munition bis zur Stufe $cr_recommended 	Fyros Muntion Qualität 250
_702BE4E6C5CFC4E4	bcfsca01	Fyros Schilde 1	Fyros Schilde 1   	Fyros Schilde 1   	Fyros Schilde 1   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 10
_702BE4E705DFC4E4	bcfsca02	Fyros Schilde 2	Fyros Schilde 2   	Fyros Schilde 2   	Fyros Schilde 2   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 20
_702BE4E845EFC4E4	bcfsca03	Fyros Schilde 3	Fyros Schilde 3   	Fyros Schilde 3   	Fyros Schilde 3   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 30
_702BE4E986FFC4E4	bcfsca04	Fyros Schilde 4	Fyros Schilde 4   	Fyros Schilde 4   	Fyros Schilde 4   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 40
_702BE4EAC60FC4E4	bcfsca05	Fyros Schilde 5	Fyros Schilde 5   	Fyros Schilde 5   	Fyros Schilde 5   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 50
_702BE4EB061FC4E4	bcfsca06	Fyros Schilde 6	Fyros Schilde 6   	Fyros Schilde 6   	Fyros Schilde 6   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 60
_702BE4EC462FC4E4	bcfsca07	Fyros Schilde 7	Fyros Schilde 7   	Fyros Schilde 7   	Fyros Schilde 7   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 70
_702BE4ED873FC4E4	bcfsca08	Fyros Schilde 8	Fyros Schilde 8   	Fyros Schilde 8   	Fyros Schilde 8   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 80
_702BE4EEC74FC4E4	bcfsca09	Fyros Schilde 9	Fyros Schilde 9   	Fyros Schilde 9   	Fyros Schilde 9   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 90
_C29F9A8880100026	bcfsca10	Fyros Schilde 10	Fyros Schilde 10   	Fyros Schilde 10   	Fyros Schilde 10   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 100
_C2AF9A8800100026	bcfsca11	Fyros Schilde 11	Fyros Schilde 11   	Fyros Schilde 11   	Fyros Schilde 11   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 110
_C2BF9A8880100026	bcfsca12	Fyros Schilde 12	Fyros Schilde 12   	Fyros Schilde 12   	Fyros Schilde 12   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 120
_C2CF9A8800100026	bcfsca13	Fyros Schilde 13	Fyros Schilde 13   	Fyros Schilde 13   	Fyros Schilde 13   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 130
_C2DF9A8882100026	bcfsca14	Fyros Schilde 14	Fyros Schilde 14   	Fyros Schilde 14   	Fyros Schilde 14   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 140
_C2EF9A8802100026	bcfsca15	Fyros Schilde 15	Fyros Schilde 15   	Fyros Schilde 15   	Fyros Schilde 15   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 150
_C2FF9A8882100026	bcfsca16	Fyros Schilde 16	Fyros Schilde 16   	Fyros Schilde 16   	Fyros Schilde 16   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 160
_C20F9A8802100026	bcfsca17	Fyros Schilde 17	Fyros Schilde 17   	Fyros Schilde 17   	Fyros Schilde 17   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 170
_C21F9A8884100026	bcfsca18	Fyros Schilde 18	Fyros Schilde 18   	Fyros Schilde 18   	Fyros Schilde 18   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 180
_C22F9A8804100026	bcfsca19	Fyros Schilde 19	Fyros Schilde 19   	Fyros Schilde 19   	Fyros Schilde 19   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 190
_C29F9E8880300026	bcfsca20	Fyros Schilde 20	Fyros Schilde 20   	Fyros Schilde 20   	Fyros Schilde 20   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 200
_C2AF9E8800300026	bcfsca21	Fyros Schilde 21	Fyros Schilde 21   	Fyros Schilde 21   	Fyros Schilde 21   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 210
_C2BF9E8880300026	bcfsca22	Fyros Schilde 22	Fyros Schilde 22   	Fyros Schilde 22   	Fyros Schilde 22   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 220
_C2CF9E8800300026	bcfsca23	Fyros Schilde 23	Fyros Schilde 23   	Fyros Schilde 23   	Fyros Schilde 23   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 230
_C2DF9E8882300026	bcfsca24	Fyros Schilde 24	Fyros Schilde 24   	Fyros Schilde 24   	Fyros Schilde 24   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 240
_C2EF9E8802300026	bcfsca25	Fyros Schilde 25	Fyros Schilde 25   	Fyros Schilde 25   	Fyros Schilde 25   	ein	der		die	Befähigt zur Herstellung von Fyros-Schilden bis zur Stufe $cr_recommended 	Fyros Schilde Qualität 250
_8BF5FE93AB8E9A73	bcfjca01	Fyros Juwelen 1	Fyros Juwelen 1   	Fyros Juwelen 1   	Fyros Juwelen 1   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 10
_8BF5FE93EB8EA273	bcfjca02	Fyros Juwelen 2	Fyros Juwelen 2   	Fyros Juwelen 2   	Fyros Juwelen 2   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 20
_8BF5FE932B8EAA73	bcfjca03	Fyros Juwelen 3	Fyros Juwelen 3   	Fyros Juwelen 3   	Fyros Juwelen 3   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 30
_8BF5FE936C8EB273	bcfjca04	Fyros Juwelen 4	Fyros Juwelen 4   	Fyros Juwelen 4   	Fyros Juwelen 4   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 40
_8BF5FE93AC8EBA73	bcfjca05	Fyros Juwelen 5	Fyros Juwelen 5   	Fyros Juwelen 5   	Fyros Juwelen 5   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 50
_8BF5FE93EC8EC273	bcfjca06	Fyros Juwelen 6	Fyros Juwelen 6   	Fyros Juwelen 6   	Fyros Juwelen 6   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 60
_8BF5FE932C8ECA73	bcfjca07	Fyros Juwelen 7	Fyros Juwelen 7   	Fyros Juwelen 7   	Fyros Juwelen 7   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 70
_8BF5FE936D8ED273	bcfjca08	Fyros Juwelen 8	Fyros Juwelen 8   	Fyros Juwelen 8   	Fyros Juwelen 8   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 80
_8BF5FE93AD8EDA73	bcfjca09	Fyros Juwelen 9	Fyros Juwelen 9   	Fyros Juwelen 9   	Fyros Juwelen 9   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 90
_5E5E1E3D0AEA7FCB	bcfjca10	Fyros Juwelen 10	Fyros Juwelen 10   	Fyros Juwelen 10   	Fyros Juwelen 10   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 100
_5E5E1E3D8AFA7FCB	bcfjca11	Fyros Juwelen 11	Fyros Juwelen 11   	Fyros Juwelen 11   	Fyros Juwelen 11   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 110
_5E5E1E3D0A0A7FCB	bcfjca12	Fyros Juwelen 12	Fyros Juwelen 12   	Fyros Juwelen 12   	Fyros Juwelen 12   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 120
_5E5E1E3D8A1A7FCB	bcfjca13	Fyros Juwelen 13	Fyros Juwelen 13   	Fyros Juwelen 13   	Fyros Juwelen 13   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 130
_5E5E1E3D0C2A7FCB	bcfjca14	Fyros Juwelen 14	Fyros Juwelen 14   	Fyros Juwelen 14   	Fyros Juwelen 14   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 140
_5E5E1E3D8C3A7FCB	bcfjca15	Fyros Juwelen 15	Fyros Juwelen 15   	Fyros Juwelen 15   	Fyros Juwelen 15   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 150
_5E5E1E3D0C4A7FCB	bcfjca16	Fyros Juwelen 16	Fyros Juwelen 16   	Fyros Juwelen 16   	Fyros Juwelen 16   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 160
_5E5E1E3D8C5A7FCB	bcfjca17	Fyros Juwelen 17	Fyros Juwelen 17   	Fyros Juwelen 17   	Fyros Juwelen 17   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 170
_5E5E1E3D0E6A7FCB	bcfjca18	Fyros Juwelen 18	Fyros Juwelen 18   	Fyros Juwelen 18   	Fyros Juwelen 18   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 180
_5E5E1E3D8E7A7FCB	bcfjca19	Fyros Juwelen 19	Fyros Juwelen 19   	Fyros Juwelen 19   	Fyros Juwelen 19   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 190
_5E5E1E3D0A0A83CB	bcfjca20	Fyros Juwelen 20	Fyros Juwelen 20   	Fyros Juwelen 20   	Fyros Juwelen 20   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 200
_5E5E1E3D8A1A83CB	bcfjca21	Fyros Juwelen 21	Fyros Juwelen 21   	Fyros Juwelen 21   	Fyros Juwelen 21   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 210
_5E5E1E3D0A2A83CB	bcfjca22	Fyros Juwelen 22	Fyros Juwelen 22   	Fyros Juwelen 22   	Fyros Juwelen 22   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 220
_5E5E1E3D8A3A83CB	bcfjca23	Fyros Juwelen 23	Fyros Juwelen 23   	Fyros Juwelen 23   	Fyros Juwelen 23   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 230
_5E5E1E3D0C4A83CB	bcfjca24	Fyros Juwelen 24	Fyros Juwelen 24   	Fyros Juwelen 24   	Fyros Juwelen 24   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 240
_5E5E1E3D8C5A83CB	bcfjca25	Fyros Juwelen 25	Fyros Juwelen 25   	Fyros Juwelen 25   	Fyros Juwelen 25   	ein	der		die	Befähigt zur Herstellung von Fyros-Schmuck bis zur Stufe $cr_recommended 	Fyros Juwelen Qualität 250
_97C635150F04E85C	bcmaca01	Matis Rüstungen 1	Matis Rüstungen 1   	Matis Rüstungen 1   	Matis Rüstungen 1   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 10
_97D635154F04E85D	bcmaca02	Matis Rüstungen 2	Matis Rüstungen 2   	Matis Rüstungen 2   	Matis Rüstungen 2   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 20
_97E635158F04E85E	bcmaca03	Matis Rüstungen 3	Matis Rüstungen 3   	Matis Rüstungen 3   	Matis Rüstungen 3   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 30
_97F63515D004E85F	bcmaca04	Matis Rüstungen 4	Matis Rüstungen 4   	Matis Rüstungen 4   	Matis Rüstungen 4   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 40
_970635151004E860	bcmaca05	Matis Rüstungen 5	Matis Rüstungen 5   	Matis Rüstungen 5   	Matis Rüstungen 5   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 50
_971635155004E861	bcmaca06	Matis Rüstungen 6	Matis Rüstungen 6   	Matis Rüstungen 6   	Matis Rüstungen 6   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 60
_972635159004E862	bcmaca07	Matis Rüstungen 7	Matis Rüstungen 7   	Matis Rüstungen 7   	Matis Rüstungen 7   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 70
_97363515D104E863	bcmaca08	Matis Rüstungen 8	Matis Rüstungen 8   	Matis Rüstungen 8   	Matis Rüstungen 8   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 80
_974635151104E864	bcmaca09	Matis Rüstungen 9	Matis Rüstungen 9   	Matis Rüstungen 9   	Matis Rüstungen 9   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 90
_17D312A2BCC30B82	bcmaca10	Matis Rüstungen 10	Matis Rüstungen 10   	Matis Rüstungen 10   	Matis Rüstungen 10   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 100
_17D312A2FCC30F83	bcmaca11	Matis Rüstungen 11	Matis Rüstungen 11   	Matis Rüstungen 11   	Matis Rüstungen 11   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 110
_17D312A23CC31384	bcmaca12	Matis Rüstungen 12	Matis Rüstungen 12   	Matis Rüstungen 12   	Matis Rüstungen 12   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 120
_17D312A27CC31785	bcmaca13	Matis Rüstungen 13	Matis Rüstungen 13   	Matis Rüstungen 13   	Matis Rüstungen 13   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 130
_17D312A2BDC31B86	bcmaca14	Matis Rüstungen 14	Matis Rüstungen 14   	Matis Rüstungen 14   	Matis Rüstungen 14   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 140
_17D312A2FDC31F87	bcmaca15	Matis Rüstungen 15	Matis Rüstungen 15   	Matis Rüstungen 15   	Matis Rüstungen 15   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 150
_17D312A23DC32388	bcmaca16	Matis Rüstungen 16	Matis Rüstungen 16   	Matis Rüstungen 16   	Matis Rüstungen 16   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 160
_17D312A27DC32789	bcmaca17	Matis Rüstungen 17	Matis Rüstungen 17   	Matis Rüstungen 17   	Matis Rüstungen 17   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 170
_17D312A2BEC32B8A	bcmaca18	Matis Rüstungen 18	Matis Rüstungen 18   	Matis Rüstungen 18   	Matis Rüstungen 18   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 180
_17D312A2FEC32F8B	bcmaca19	Matis Rüstungen 19	Matis Rüstungen 19   	Matis Rüstungen 19   	Matis Rüstungen 19   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 190
_57D312A2BCD30B83	bcmaca20	Matis Rüstungen 20	Matis Rüstungen 20   	Matis Rüstungen 20   	Matis Rüstungen 20   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 200
_57D312A2FCD30F84	bcmaca21	Matis Rüstungen 21	Matis Rüstungen 21   	Matis Rüstungen 21   	Matis Rüstungen 21   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 210
_57D312A23CD31385	bcmaca22	Matis Rüstungen 22	Matis Rüstungen 22   	Matis Rüstungen 22   	Matis Rüstungen 22   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 220
_57D312A27CD31786	bcmaca23	Matis Rüstungen 23	Matis Rüstungen 23   	Matis Rüstungen 23   	Matis Rüstungen 23   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 230
_57D312A2BDD31B87	bcmaca24	Matis Rüstungen 24	Matis Rüstungen 24   	Matis Rüstungen 24   	Matis Rüstungen 24   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 240
_57D312A2FDD31F88	bcmaca25	Matis Rüstungen 25	Matis Rüstungen 25   	Matis Rüstungen 25   	Matis Rüstungen 25   	ein	der		die	Befähigt zur Herstellung von Matis-Rüstungen bis zur Stufe $cr_recommended 	Matis Rüstungen Qualität 250
_D8A3DF4D9CF6BF85	bcmmca01	Matis Nahkampfwaffen 1	Matis Nahkampfwaffen 1   	Matis Nahkampfwaffen 1   	Matis Nahkampfwaffen 1   	ein	der		die	Befähigt zur Herstellung von Matis-Nahkampfwaffen bis zur Stufe $cr_recommended 	Matis Nahkampfwaffen Qualität 10
_D8B3DF4DDCF6BF86	bcmmca02	Matis Nahkampfwaffen 2	Matis Nahkampfwaffen 2   	Matis Nahkampfwaffen 2   	Matis Nahkampfwaffen 2   	ein	der		die	Befähigt zur Herstellung von Matis-Nahkampfwaffen bis zur Stufe $cr_recommended 	Matis Nahkampfwaffen Qualität 20
_D8C3DF4D1CF6BF87	bcmmca03	Matis Nahkampfwaffen 3	Matis Nahkampfwaffen 3   	Matis Nahkampfwaffen 3   	Matis Nahkampfwaffen 3   	ein	der		die	Befähigt zur Herstellung von Matis-Nahkampfwaffen bis zur Stufe $cr_recommended 	Matis Nahkampfwaffen Qualität 30
_D8D3DF4D5DF6BF88	bcmmca04	Matis Nahkampfwaffen 4	Matis Nahkampfwaffen 4   	Matis Nahkampfwaffen 4   	Matis Nahkampfwaffen 4   	ein	der		die	Befähigt zur Herstellung von Matis-Nahkampfwaffen bis zur Stufe $cr_recommended 	Matis Nahkampfwaffen Qualität 40
_D8E3DF4D9DF6BF89	bcmmca05	Matis Nahkampfwaffen 5	Matis Nahkampfwaffen 5   	Matis Nahkampfwaffen 5   	Matis Nahkampfwaffen 5   	ein	der		die	Befähigt zur Herstellung von Matis-Nahkampfwaffen bis zur Stufe $cr_recommended 	Matis Nahkampfwaffen Qualität 50
_D8F3DF4DDDF6BF8A	bcmmca06	Matis Nahkampfwaffen 6	Matis Nahkampfwaffen 6   	Matis Nahkampfwaffen 6   	Matis Nahkampfwaffen 6   	ein	der		die	Befähigt zur Herstellung von Matis-Nahkampfwaffen bis zur Stufe $cr_recommended 	Matis Nahkampfwaffen Qualität 60
_D803DF4D1DF6BF8B	bcmmca07	Matis Nahkampfwaffen 7	Matis Nahkampfwaffen 7   	Matis Nahkampfwaffen 7   	Matis Nahkampfwaffen 7   	ein	der		die	Befähigt zur Herstellung von Matis-Nahkampfwaffen bis zur Stufe $cr_recommended 	Matis Nahkampfwaffen Qualität 70
